name,popularity
Doddapatre Tambuli Recipe (Karpooravalli Thayir Pachadi),"[<span id=""recipenumvotes"">15455 ratings.</span>]"
Fish Tandoori Recipe,"[<span id=""recipenumvotes"">2159 ratings.</span>]"
Arbi Shimla Mirch Sabzi Recipe – Colocasia Capsicum Sabzi,"[<span id=""recipenumvotes"">2427 ratings.</span>]"
Ambur Style Brinjal Curry Recipe,700
Mavinakayi Menasinakai Curry Recipe  - Raw Mango Coconut Curry,700
Cabbage And Carrot Thoran Recipe,"[<span id=""recipenumvotes"">4879 ratings.</span>]"
Konkani Style Mooga Ghushi Recipe-Sprouted Whole Green Gram In Tangy Coconut Gravy,700
Chicken Sholay Kebab Recipe,"[<span id=""recipenumvotes"">6919 ratings.</span>]"
Beetroot Paneer Curry Recipe In Coconut Milk,700
Sankara Meen Kuzhambu Recipe,700
Dim Posto Recipe - Bengali Egg Curry With Poppy Seeds,"[<span id=""recipenumvotes"">7756 ratings.</span>]"
Panasa Pottu Aava Koora Recipe - Andhra Style Mustard Flavoured Raw Jackfruit Curry,700
Mixed Vegetable Pulao Recipe,700
Coorg Style Kaad Manga Curry Recipe -Sweet & Spicy Mango Curry,700
Hyderabadi Shahi Mixed Vegetable Curry Recipe,"[<span id=""recipenumvotes"">7056 ratings.</span>]"
Kashmiri Kokur T Nadir Recipe-Chicken and Lotus Stem Curry,"[<span id=""recipenumvotes"">950 ratings.</span>]"
Punjabi Style Lobia Masala Recipe (Black Eyed Peas Masala),"[<span id=""recipenumvotes"">2410 ratings.</span>]"
Palak Tovve Recipe - South Indian Dal Palak With Coconut,700
Konkani Style Vali Bendi Recipe-Malabar Spinach Curry,"[<span id=""recipenumvotes"">2682 ratings.</span>]"
Cabbage & Buttermilk Curry Recipe,"[<span id=""recipenumvotes"">1495 ratings.</span>]"
Fajeto Recipe - Gujarati Ripe Mango Curry Recipe,700
Mulakootal Recipe (Vegetables In Coconut Gravy),"[<span id=""recipenumvotes"">1798 ratings.</span>]"
Karwar Style Valval Recipe (Mixed Vegetables In Coconut Milk),"[<span id=""recipenumvotes"">1588 ratings.</span>]"
Spicy Baby Potatoes Recipe,"[<span id=""recipenumvotes"">64532 ratings.</span>]"
Kolkata Chicken Chaap Recipe  - Slow Cooked Chicken Legs,700
Konkani Style Maskasangi Magge Koddel Recipe-Drumstick and Mangalore Cucumber Curry,700
Karnataka Style Beetroot Palya Recipe,"[<span id=""recipenumvotes"">13592 ratings.</span>]"
Tomato Sheer Recipe -Tomato And Coconut Curry Recipe,700
Whole Wheat Lachha Paratha Recipe-Multilayered Layered Indian Flat Bread,"[<span id=""recipenumvotes"">10327 ratings.</span>]"
Mangalorean Style Sonay Sukka Recipe - Dry Chickpea Stir Fry,700
Baked Amritsari Kulcha Recipe (Without Yeast),"[<span id=""recipenumvotes"">5813 ratings.</span>]"
Goan Style Mushroom Shagoti Recipe,"[<span id=""recipenumvotes"">2917 ratings.</span>]"
Kathirikai Rasavangi Recipe - Eggplant is a Tangy Coconut Gravy,700
Lobia Masala Recipe (Black Eyed Bean Curry) - Roz Ka Khana With Figaro Olive Oil,700
Amritsari Fish Gravy Recipe,"[<span id=""recipenumvotes"">13278 ratings.</span>]"
Alugadde Batani Gasi Recipe - Potatoes And Peas Gassi,700
Udupi Style Ash Gourd Coconut Curry Recipe,"[<span id=""recipenumvotes"">18163 ratings.</span>]"
Lauki Chana Dal Recipe | Dudhi Chana Dal |  High Protein Bottle Gourd Lentil Curry,700
Panasa Pottu Pappu Koora Recipe - Jackfruit & Dal Curry,700
Thakkali Vengaya Sambar Recipe - Tomato Onion Sambar,700
Goan Style Patol Bhaji Recipe- Green peas Curry Recipe,"[<span id=""recipenumvotes"">6127 ratings.</span>]"
Chettinad Sura Meen Kuzhambu Recipe (Shark Fish Curry),"[<span id=""recipenumvotes"">15049 ratings.</span>]"
Maharashtrian Gopalkala Recipe (Curd Poha With Fruits),700
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,"[<span id=""recipenumvotes"">11054 ratings.</span>]"
Bhaat Na Muthiya Dhokla Recipe | Gujarati Farsan | Snack,700
Quick Paneer Masala Recipe - 15 Minute Paneer Gravy,700
Paneer Gassi Recipe,"[<span id=""recipenumvotes"">1927 ratings.</span>]"
Udupi Style Huli Podi Recipe (Sambar Powder),700
Maharastrian Kairichi Amti Recipe - Raw Mango Curry Recipe,700
Mulakushyam Recipe - A Mixed Vegetable Lentil Curry,700
Veg Mughlai Paratha Recipe,"[<span id=""recipenumvotes"">10377 ratings.</span>]"
Beetroot| Aloo & Amaranth Leaves Sabzi Recipe,700
Goan Style Mushroom Vindaloo Recipe,"[<span id=""recipenumvotes"">3950 ratings.</span>]"
Vazhakkai Poriyal Recipe - Raw banana Roast With Pepper,700
Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe),"[<span id=""recipenumvotes"">2614 ratings.</span>]"
Chettinad Rasam Powder Recipe,"[<span id=""recipenumvotes"">5029 ratings.</span>]"
Karwar Style Surana Bhaji Recipe - Hot and Sour Yam Dry Curry,700
Bhaat Na Rasawala Muthia Dhokla Recipe | Gujarati Rasiya Dhokla,"[<span id=""recipenumvotes"">3267 ratings.</span>]"
Dal Palak Recipe With Moong & Masoor Dal,700
Nadan Kozhi Recipe | Kerala Chicken Curry | Nadan Chicken Curry,700
Stuffed Mooli Paratha Recipe (Radish Flat Bread),"[<span id=""recipenumvotes"">4038 ratings.</span>]"
Paneer Tikka Pulao Recipe,"[<span id=""recipenumvotes"">3670 ratings.</span>]"
Chettinad Style Pepper Mushroom Recipe,"[<span id=""recipenumvotes"">7655 ratings.</span>]"
Roasted Eggplant And Chickpea Curry Flavored With Curry Leaves And Mustard Seeds,"[<span id=""recipenumvotes"">1085 ratings.</span>]"
Bharwa Karela Makhani  Recipe - Stuffed Karela Masala Gravy,700
Omakka Curry Recipe - Kerala Style Papaya Curry,"[<span id=""recipenumvotes"">7625 ratings.</span>]"
Urulaizhilangu Podimas (South Indian Style Potato Mash),"[<span id=""recipenumvotes"">985 ratings.</span>]"
Mullangi Mor Pachadi Recipe (Radish in spicy tempered Yogurt Gravy Recipe),700
Konkani Style Vengaya Sagle Recipe - Eggplant Drumstick Curry,700
Olya Kaju Chi Amti Recipe - Malvani Cashew Nut Curry,"[<span id=""recipenumvotes"">1994 ratings.</span>]"
Rajma Saagwala (Dry Kidney Beans And Spinach Stir Fry) Recipe,"[<span id=""recipenumvotes"">2425 ratings.</span>]"
Sautéed Aubergine With Tamarind Recipe,700
Raw Banana and Banana Stem Stuffed Paratha Recipe,"[<span id=""recipenumvotes"">792 ratings.</span>]"
Chicken Kappa Biryani Recipe,"[<span id=""recipenumvotes"">3204 ratings.</span>]"
Kodava Kummu Curry Recipe- Coorg Style Mushroom Curry,"[<span id=""recipenumvotes"">4534 ratings.</span>]"
Stuffed Gilka Recipe (Maharashtrian Style Stuffed Silk Squash),"[<span id=""recipenumvotes"">1517 ratings.</span>]"
Senai Kizhangu Gotsu Recipe - Spicy & Tangy Yam Curry Recipe,700
Chocolate Rava Ladoo Recipe,700
Dubki Wale Aloo Recipe - Potatoes In A Spicy North Indian Gravy,"[<span id=""recipenumvotes"">4762 ratings.</span>]"
Masaledar Moongphali Til Wale Aloo Recipe,"[<span id=""recipenumvotes"">1369 ratings.</span>]"
Beetroot Tambuli Recipe,700
Green Moong Dal Paratha Recipe - Stuffed Lentil Flatbread,700
Lagan Ki Machli Recipe - Delicious Pomfret Curry,"[<span id=""recipenumvotes"">1987 ratings.</span>]"
Eggplant In Mustard Poppy Seed Yogurt Gravy Recipe-Begun Doi Sorse Posto bata Jhol,700
Tamatar Wali Arbi Sabzi Recipe,"[<span id=""recipenumvotes"">1604 ratings.</span>]"
Goan Bimbla Uddamethi Recipe,"[<span id=""recipenumvotes"">1927 ratings.</span>]"
Chettinad Style Prawn Biryani Recipe,"[<span id=""recipenumvotes"">7826 ratings.</span>]"
Layered Vegetable Tricolor Biryani Recipe,700
Chicken Wings With Bhuna Masala Recipe,"[<span id=""recipenumvotes"">2108 ratings.</span>]"
Kerala Style Brinjal Curry Recipe | Spicy Eggplant Curry in Coconut Milk,700
Kadai Beans And Carrot Pulao Recipe,700
Konkan Style Vali Bhajji Ambat Recipe-Spiced Malabar Spinach Dal,700
Tripura Style Kosoi Bwtwi Recipe - Sauteed Tofu & Green Beans Stir Fry With Garlic,"[<span id=""recipenumvotes"">1226 ratings.</span>]"
Bell Pepper Sabji Recipe-No Onion No Garlic,700
Chettinad Keerai Mandi Recipe With Amaranth Greens,"[<span id=""recipenumvotes"">1754 ratings.</span>]"
Kashmir Style Bom Chount/Wangan Recipe-Spicy Apple Brinjal Curry,700
Mangalore Style Nurge Gashie Recipe-Spicy Drumstick Curry,700
Beerakaya Tomato Koora Recipe (Andhra Style Ridge Gourd Curry),"[<span id=""recipenumvotes"">6597 ratings.</span>]"
Mint Coriander Spice Pulao Recipe,"[<span id=""recipenumvotes"">1993 ratings.</span>]"
Kerala Style Vegetable Stew Recipe with Coconut Milk,700
Moolangi Tovve Recipe - Radish Curry,700
Rajasthani Dal Muthiya Recipe,"[<span id=""recipenumvotes"">1803 ratings.</span>]"
Bengaluru Style Brinjal Gravy Recipe - For Biryani,"[<span id=""recipenumvotes"">31558 ratings.</span>]"
Ridge Gourd Tambli Recipe - Spicy Ridge Gourd in Coconut Curry,"[<span id=""recipenumvotes"">1644 ratings.</span>]"
Dahi Methi Puri Recipe - Fenugreek Leaves Puri With Yogurt,"[<span id=""recipenumvotes"">6444 ratings.</span>]"
Coorg Style Kumbala Curry Recipe (Pumpkin Sabzi),"[<span id=""recipenumvotes"">2613 ratings.</span>]"
Paneer Jalfrezi Recipe,"[<span id=""recipenumvotes"">1734 ratings.</span>]"
Peshwari Naan Recipe - Naan Stuffed With Sweet Dry Fruits,700
Mangalorean Style Bendekayi Huli Koddel Recipe - Ladies finger Dal without Coconut Recipe,"[<span id=""recipenumvotes"">2144 ratings.</span>]"
Karamani Poriyal Recipe - Yard Long Beans Stir Fry | Chawli | Barbati Sabzi,700
Milagai Bajji Stuffed with Masala Chicken Recipe,"[<span id=""recipenumvotes"">1675 ratings.</span>]"
Mixed Vegetable Handi Recipe,"[<span id=""recipenumvotes"">4461 ratings.</span>]"
Kerala Kadala Curry Recipe - Spicy Chickpeas in Coconut Curry,700
Pumpkin Curry With Chicken Recipe,"[<span id=""recipenumvotes"">3256 ratings.</span>]"
Thor Chal Recipe - Banana Stem Pulao Recipe,700
Goan Mushroom Xacuti Recipe,"[<span id=""recipenumvotes"">9252 ratings.</span>]"
Mango Pulusu Recipe - Mamidi Pandu Pulusu Recipe,700
Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry),700
Kadai Chole Recipe- Dry Chickpeas Masala with Capsicum,700
Navrang Dal Recipe ( Spicy Mixed Lentils),"[<span id=""recipenumvotes"">4216 ratings.</span>]"
Chicken Keema Paratha Recipe - Minced Chicken Flat Bread,"[<span id=""recipenumvotes"">9663 ratings.</span>]"
Konkan Style Modachya Moongachi Amti Recipe-Sprouted Moong Bean Curry,700
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"[<span id=""recipenumvotes"">4494 ratings.</span>]"
Goan Sorak Curry Recipe,"[<span id=""recipenumvotes"">4221 ratings.</span>]"
Palak Kadhi Recipe - Spinach Kadhi,700
Bendekayi Koddel/Bolu Huli Recipe - Mangalorean Style Bhindi Sambar Recipe,"[<span id=""recipenumvotes"">8213 ratings.</span>]"
Chenakayi Erissery Recipe - Yam Erissery,"[<span id=""recipenumvotes"">3408 ratings.</span>]"
Raw Banana and Yam Thoran Recipe,700
Chettinad Pakora Curry Recipe,700
Mint Vegetables Moilee Recipe (Mixed Vegetables Cooked In Minty Coconut Milk),"[<span id=""recipenumvotes"">1491 ratings.</span>]"
Parsi Salli Murgh Recipe - Salli Marghi,700
Chunni Ki Puri Recipe - Moong Dal And Besan Fried Puri Recipe,700
Andhra Style Munakkada Masala Kura Recipe - Drumstick Dry Curry Recipe,"[<span id=""recipenumvotes"">9110 ratings.</span>]"
Seppakizhangu Roast (South Indian Style Arbi Fry) Recipe,"[<span id=""recipenumvotes"">2141 ratings.</span>]"
Cauliflower Curry With Bell Peppers And Carrots In Spiced Milk Gravy,"[<span id=""recipenumvotes"">1571 ratings.</span>]"
Methi Masoor Dal Recipe With Whole Masoor,700
Kathirikai Pitlai Recipe - South Indian Tangy & Spicy Brinjal Curry,700
Stuffed Kathal Recipe,700
Mangalorean Style Kuvalyacho Pollav Recipe (Yellow Pumpkin Curry Recipe),"[<span id=""recipenumvotes"">3991 ratings.</span>]"
Doi Ilish Recipe - Bengali Style Hilsa In Yogurt Gravy Recipe,700
Beetroot Greens Rice Recipe,"[<span id=""recipenumvotes"">1763 ratings.</span>]"
Masoor Dal Gassi Recipe - Lentils in Tangy Coconut Curry,700
Moongachi Usali (Goan Style Sprouted Green Gram Stir Fry),"[<span id=""recipenumvotes"">1465 ratings.</span>]"
Pumpkin Chapati Recipe,"[<span id=""recipenumvotes"">3482 ratings.</span>]"
Sattu Ka Paratha Recipe (Stuffed Channa Dal Flour Paratha),"[<span id=""recipenumvotes"">20408 ratings.</span>]"
Mangalorean Style Ambe Upkari Recipe - Ripe Mango Curry,700
Steamed Rice Recipe - Pressure Cooker & Sauce Pan Methods,700
Bajra Aloo Paratha Recipe,"[<span id=""recipenumvotes"">3081 ratings.</span>]"
Bharwa Karela With Sweet Potato Filling Recipe,"[<span id=""recipenumvotes"">1322 ratings.</span>]"
Subz Noor E Chashm Recipe (Nawabi Curry Recipe ),700
Kori Gassi Recipe - Mangalorean Traditional Chicken Curry With Coconut Milk,700
Tandoori Style Soya Chaap Curry Recipe,"[<span id=""recipenumvotes"">8247 ratings.</span>]"
Mirch Ki Sabzi Recipe With Roasted Peanuts,"[<span id=""recipenumvotes"">2137 ratings.</span>]"
Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal,700
Bengali Style Raw Jackfruit Curry Recipe - Enchor’er Dalana,700
Malwani Pumpkin And Raw Mango Curry Recipe,"[<span id=""recipenumvotes"">2369 ratings.</span>]"
Butter Garlic Naan Recipe - Garlic Flavoured Flatbread,700
Huli Soppu Saaru Recipe - Karnataka Style Mixed Greens Sambar,"[<span id=""recipenumvotes"">13554 ratings.</span>]"
Dry Palak Dal Sabzi Recipe,"[<span id=""recipenumvotes"">4164 ratings.</span>]"
Bengali Style Basanti Pulao Recipe,"[<span id=""recipenumvotes"">5166 ratings.</span>]"
Kollu Puli Kuzhambu Recipe - Horsegram In A Tangy Gravy,"[<span id=""recipenumvotes"">3177 ratings.</span>]"
Murungai Keerai Adai Recipe - Drumstick Leaves Adai | Lentil Crepes,700
Mughlai Style Chicken Haleem Recipe,"[<span id=""recipenumvotes"">4360 ratings.</span>]"
Bengali Style Kanch kolar Kofta Curry Recipe (Green Plantain Kofta Curry Recipe),"[<span id=""recipenumvotes"">9997 ratings.</span>]"
Kongunadu Style Senai Kilangu Masala Recipe - Yam in Spicy Gravy,"[<span id=""recipenumvotes"">1918 ratings.</span>]"
Goan Style French Beans Foogath Recipe,"[<span id=""recipenumvotes"">3568 ratings.</span>]"
Karwar NKGSB Style Bharli Vangi Recipe - Brinjal Curry,700
Andhra Style Sorakaya Kura Recipe - Bottle Gourd And Toor Dal Recipe,"[<span id=""recipenumvotes"">2610 ratings.</span>]"
Mixed Sprouts In Chettinad Masala Recipe,"[<span id=""recipenumvotes"">1634 ratings.</span>]"
Besan Arbi Roast Recipe - Spicy Colocasia Stir Fry,"[<span id=""recipenumvotes"">1404 ratings.</span>]"
Stuffed Mooli Paneer Paratha Recipe,"[<span id=""recipenumvotes"">2248 ratings.</span>]"
Kuvale Sasam Recipe - Konkani Ash Gourd Curry,700
Ullikadala Pulusu Recipe | Spring Onion Curry,"[<span id=""recipenumvotes"">2306 ratings.</span>]"
Maharashtrian Takatla Palak Recipe - Spinach Peanut Buttermilk Curry,700
Bhogichi Bhaji Recipe - Maharashtrian Mixed Vegetable Sabzi,700
Vazhakkai Podimas Recipe (Ayurvedic Recipe With No Onion No Garlic),"[<span id=""recipenumvotes"">1523 ratings.</span>]"
Peanut Curry Recipe,"[<span id=""recipenumvotes"">2296 ratings.</span>]"
Foxtail and Jowar Millet Paniyaram Recipe,700
Matar Masala Tofu Recipe,"[<span id=""recipenumvotes"">1998 ratings.</span>]"
Bharwa Karela Masala Recipe,"[<span id=""recipenumvotes"">3465 ratings.</span>]"
Soft & Delicious Ragi Mudde Recipe - Karnataka Style Ragi Balls,700
Kathiyawadi Stuffed Onion Recipe,"[<span id=""recipenumvotes"">3107 ratings.</span>]"
Hyderabadi Bagare Tamatar (Spiced| Tossed Tomato Curry),"[<span id=""recipenumvotes"">1407 ratings.</span>]"
Classic Andhra Style Chicken Curry Recipe,"[<span id=""recipenumvotes"">27515 ratings.</span>]"
Chettinad Style Nattu Kozhi Varuval Recipe,"[<span id=""recipenumvotes"">16726 ratings.</span>]"
Goan Kaju Curry Recipe (Spicy Goan Cashew Nut Curry),700
Mutton Keema Recipe,"[<span id=""recipenumvotes"">19517 ratings.</span>]"
Bendekaayi Gojju (Lady Finger In Coconut Curry) Recipe,"[<span id=""recipenumvotes"">2559 ratings.</span>]"
Petha Wadi Sabzi Recipe,"[<span id=""recipenumvotes"">834 ratings.</span>]"
Vankaya Gasagasala Kura | Andhra Style Eggplant Poppy Seeds Curry Recipe,700
Raw Jackfruit & Peanut Masala Poriyal Recipe With Sambar Powder,700
Dhaba Style Green Moong Dal Makhani Recipe,700
Mushroom Caldine Recipe | Vegetarian Goan Mushroom Curry,700
Nendra Pazham Pulissery Recipe - Ayurvedic Recipe,700
Hyderabadi Khadi Masoor Dal Recipe - Hyderabadi Style Lentil Curry,700
Mixed Vegetable Akki Roti Recipe,"[<span id=""recipenumvotes"">1944 ratings.</span>]"
Spiced Turnips with Spinach Recipe,"[<span id=""recipenumvotes"">2866 ratings.</span>]"
Mangalorean Padengi Gassi Recipe - Green Moong Dal Curry,700
Matar Aur Chilke Ka Sabzi (Peas & Peel Stir Fry Recipe),"[<span id=""recipenumvotes"">1513 ratings.</span>]"
Thouthe Kodel Recipe (Mangalore Southekayi Curry),700
Vankaya Pakodi Koora Recipe - Andhra Style Brinjal Pakora Curry,"[<span id=""recipenumvotes"">1729 ratings.</span>]"
Karnataka Style Sandige Huli Recipe (Toor dal dumplings in Gravy Recipe),"[<span id=""recipenumvotes"">4159 ratings.</span>]"
Gujarati Trevti Dal Recipe (Creamy Lentils Cooked In Mild Spices),"[<span id=""recipenumvotes"">6379 ratings.</span>]"
Methi Bajra Poori Recipe,"[<span id=""recipenumvotes"">3124 ratings.</span>]"
Thakkali Gotsu Recipe | Thakkali Curry | Spicy & Tangy Tomato Gravy,700
Hyderabadi Khatti Dal Recipe (Hyderabadi Tangy Lentil Curry),"[<span id=""recipenumvotes"">14743 ratings.</span>]"
Spiced Cabbage Rice Recipe,700
Goan Raw Banana Sabzi Recipe,"[<span id=""recipenumvotes"">10952 ratings.</span>]"
Thekera Tenga Recipe,"[<span id=""recipenumvotes"">1964 ratings.</span>]"
Sweet Corn Poriyal Recipe,700
Jhinga Gawar Recipe -Shrimps & Cluster Beans Sabzi,"[<span id=""recipenumvotes"">1198 ratings.</span>]"
Chana Turai/Nenua Chana Sabzi Recipe (Ridge Gourd with Black Chana Recipe),"[<span id=""recipenumvotes"">4492 ratings.</span>]"
Mangalorean Style Lobia Gassi Recipe - Black Eyed Peas In Coconut Curry,700
Goat Curry In Yogurt Gravy Recipe,"[<span id=""recipenumvotes"">2095 ratings.</span>]"
Spicy Crab Masala Recipe,"[<span id=""recipenumvotes"">6704 ratings.</span>]"
Mangalorean Chana Gassi Recipe,"[<span id=""recipenumvotes"">1500 ratings.</span>]"
Beetroot & Sesame Thepla Recipe,"[<span id=""recipenumvotes"">3224 ratings.</span>]"
Cauliflower In Coconut Milk Curry Recipe,700
Cauliflower Kurma (Tamil Nadu Restaurant Style Cauliflower Chops) Recipe,700
Murungai Keerai Thanni Saaru Recipe-Drumstick Leaves Soup,"[<span id=""recipenumvotes"">2125 ratings.</span>]"
Aloo Masala Puri Recipe,"[<span id=""recipenumvotes"">7455 ratings.</span>]"
Mushroom Thoran Recipe - Kerala Style Mushroom Sabzi,"[<span id=""recipenumvotes"">6254 ratings.</span>]"
Dhingri Dolma Recipe -Awadhi Style Mushroom Paneer Masala,700
Poosanikai Rasavangi Recipe - Ash Gourd Curry With Dal,"[<span id=""recipenumvotes"">2280 ratings.</span>]"
Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions,"[<span id=""recipenumvotes"">6058 ratings.</span>]"
Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi,"[<span id=""recipenumvotes"">1541 ratings.</span>]"
Togari Bele Tovve Recipe  - Toor Dal Rasam,700
Doodh Jhinge Curry Recipe-Ridge Gourd Cooked In Milk,"[<span id=""recipenumvotes"">1384 ratings.</span>]"
Shahjahani Khichdi Recipe - Spiced Green Moong Dal Khichdi,"[<span id=""recipenumvotes"">3211 ratings.</span>]"
Assamese Narasingh Masor Jhol Recipe (Fish In Curry Leaves Gravy),"[<span id=""recipenumvotes"">1870 ratings.</span>]"
Maharashtrian Tomato Saar Recipe,"[<span id=""recipenumvotes"">25531 ratings.</span>]"
Goan Style Tonak Alsanyache Recipe (Black eyed beans cooked in Tonak Masala Recipe),"[<span id=""recipenumvotes"">2765 ratings.</span>]"
Aratikaya Tomato Koora Recipe - Andhra Style Plantains With Tomato,700
Khatti Meethi Tindora Sabzi Recipe - Gujarati Tindora Nu Shaak,700
Hyderabadi Laziz Lamb Handi Recipe,"[<span id=""recipenumvotes"">2314 ratings.</span>]"
Marghi Na Farcha Recipe - Parsi Crispy Fried Chicken,"[<span id=""recipenumvotes"">2369 ratings.</span>]"
Kashmiri Style Chicken Pulao Recipe,700
Carrot Methi Pachadi Recipe,"[<span id=""recipenumvotes"">1641 ratings.</span>]"
No Onion And No Garlic Aloo Gajar Matar Ki Sabzi Recipe,"[<span id=""recipenumvotes"">1985 ratings.</span>]"
Karnataka Special Huli Tovve Recipe,"[<span id=""recipenumvotes"">4269 ratings.</span>]"
Hariyali Chicken Tikka Recipe,"[<span id=""recipenumvotes"">48983 ratings.</span>]"
Padipe Saasmi Recipe - Udupi Style Amaranth Leaves Curry With Coconut & Tamarind,"[<span id=""recipenumvotes"">2344 ratings.</span>]"
Mixed Vegetable Koora Recipe - Mixed Vegetable Poriyal,"[<span id=""recipenumvotes"">2718 ratings.</span>]"
Traditional Bihari Litti Chokha Recipe,"[<span id=""recipenumvotes"">3602 ratings.</span>]"
Shakarkand Beans Subzi Recipe (Spicy Sweet Potato Beans Stir fry),700
Paplet Hooman Recipe - Goan Pomfret Curry,700
Hunase Gojju Recipe,"[<span id=""recipenumvotes"">5211 ratings.</span>]"
Kashmiri Style Chokh Vangun Recipe - Baingan Masala,700
Rajasthani Style Mutton Banjara Recipe,700
Healthy Lauki Kofta Curry Recipe | Non Fried Bottle Gourd Kofta Curry | Dhoodi Kofta,700
Nawabi Mixed Vegetable Gravy Recipe,"[<span id=""recipenumvotes"">5664 ratings.</span>]"
Paneer Kofta Curry Recipe -Non Fried,700
Parshe Macher Jhal Recipe - Mullet In Mustard Sauce,700
Dondakkai Puli Curry Recipe - South Indian Style Tindora Curry,700
Rase Wale Aloo Recipe (Boiled Potato in Tangy Tomato Sauce),"[<span id=""recipenumvotes"">2243 ratings.</span>]"
Mamidikaya Pappu Recipe - Andhra Raw Mango Dal,700
Paneer Biryani Recipe,"[<span id=""recipenumvotes"">18211 ratings.</span>]"
Chettinad Pattani Kurma Recipe - Chettinad Peas Curry,"[<span id=""recipenumvotes"">10446 ratings.</span>]"
Palak Tambuli Recipe - Udupi Style Spinach Tambli,700
Konkani Style Sungta Ambat Aani Tallel Sungta Recipe- Fried Prawns & Curry,700
Karnataka Style Hurigadale Tambittu Recipe - Gram Flour Ladoo,700
Bengali Aloo Jhinge Posto Curry Recipe (Potato and Ridge Gourd Curry),"[<span id=""recipenumvotes"">4397 ratings.</span>]"
Assamese Bilahi Boror Tenga Recipe (Sour Curry With Red Lentil Fritters),700
Kerala Mutton Roast Recipe - Kerala Mutton Masala,700
Moringa Masoor Dal Recipe - Drumstick Leaves Dal,"[<span id=""recipenumvotes"">8396 ratings.</span>]"
Chettinad Vegetable Biryani Recipe,"[<span id=""recipenumvotes"">16975 ratings.</span>]"
Karuveppilai Chutney Podi Recipe - Curry Leaves Chutney Podi,700
Homemade Butter Naan Recipe - Soft Yogurt Bread,700
Andhra Style Kandi Pachadi Recipe (Masoor Dal Chutney Recipe),"[<span id=""recipenumvotes"">4388 ratings.</span>]"
Kori Gassi Recipe - Mangalorean Chicken Curry,700
Paneer Kulcha Recipe-Cottage Cheese Stuffed Leavened Flatbread,700
Aavryachi Bhaji-Avarakkai Poriyal Recipe-Broad Beans Stir Fry,700
Masala Akki Roti With Spinach Recipe - sarvapindi,700
Karwar NKGSB style Vataane Ananasaa Shaak Recipe- Pineapple & Whites Peas Sabzi,700
Bharva Bhindi Recipe - Pan Fried Stuffed Okra With Spices & Peanuts,700
Goan Style Khatkhatem Recipe (Mixed Vegetable Gravy),"[<span id=""recipenumvotes"">1169 ratings.</span>]"
Ukad Recipe - Maharashtrian Rice Flour Porridge,"[<span id=""recipenumvotes"">5865 ratings.</span>]"
Pakistani Bhuna Gosht Recipe,"[<span id=""recipenumvotes"">35009 ratings.</span>]"
Pumpkin Sabzi Recipe with Panch Phoron Masala,"[<span id=""recipenumvotes"">1652 ratings.</span>]"
Chettinad Beans & Cauliflower Poriyal Recipe (South Indian Stir Fry),"[<span id=""recipenumvotes"">6405 ratings.</span>]"
Besan Burji Recipe-Chickpea Flour Scramble Recipe,"[<span id=""recipenumvotes"">2643 ratings.</span>]"
Whole Wheat Soya Keema Kulchas,"[<span id=""recipenumvotes"">963 ratings.</span>]"
Murgh Malai Kebab Recipe - Chicken Malai Kebab,700
Broccoli Paneer And Peanut Masala Recipe,"[<span id=""recipenumvotes"">3161 ratings.</span>]"
Eerulli Palya Recipe - Vengaya Poriyal Recipe,700
Chettinad Kathirikai Chops Recipe - Brinjal Curry for Biryani,700
Kela Matar ki Sabzi Recipe - Raw Banana Green Peas Stir Fry,"[<span id=""recipenumvotes"">2323 ratings.</span>]"
Kerala Cherupayar Curry Recipe (Green Moong and Yellow Moong Dal Recipe),"[<span id=""recipenumvotes"">37534 ratings.</span>]"
Savory Shrimps On Skillet Recipe,"[<span id=""recipenumvotes"">554 ratings.</span>]"
Barnyard Millet Mushroom Biryani Recipe,700
Matar Butter Masala Recipe,"[<span id=""recipenumvotes"">1509 ratings.</span>]"
Rajma Kofta In Milk And Poppy Seed Gravy Recipe,"[<span id=""recipenumvotes"">690 ratings.</span>]"
Karwar Style Dali Thoy Recipe - Toor dal Curry,700
Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice),"[<span id=""recipenumvotes"">1298 ratings.</span>]"
Kurkuri Bhindi And Onion Masala Recipe,"[<span id=""recipenumvotes"">1481 ratings.</span>]"
Amlechi Uddamethi Recipe - Goan Raw Mango Curry,"[<span id=""recipenumvotes"">5539 ratings.</span>]"
Chettinad Cauliflower Pepper Fry Recipe - Chettinad Poo Kosu Poriyal,700
Karnataka Style Huggi (Rice and Moong dal Savory Porridge),"[<span id=""recipenumvotes"">4774 ratings.</span>]"
Kodava Pacche Baale Barthad- Raw Banana Stir Fry,700
Drumstick Leaves Ragi Roti Recipe - Moringa Millet Flat Bread,"[<span id=""recipenumvotes"">4373 ratings.</span>]"
